Repository Name,Is Git Repository,License Type,Git History Intact,First Commit Date,Last Commit Date,Development Span (Months),Lines of Code (Code),Lines of Code (Comments),Lines of Code (Blank),Total Files,Total Commits,Meaningful Commit Count,Commits per Month,total_pr_count,open_pr_count,closed_pr_count,merged_pr_count,github_pr_analysis_available,Number of Contributors with commits,Total Contributors (All-Time),Contributor List,Branch Count,LLM Tokens,Lexical Tokens,Code Duplication (Weighted %),Code Complexity,AI Detection Percentage,Language Count,Languages Used,Frontend Languages,Backend Languages,Frameworks Used,Frontend Frameworks,Backend Frameworks,Languages Percentage (Bytes > 5%),Frameworks Percentage (Bytes > 5%),Databases Used,Third-Party APIs,Setup Guidelines,Security Findings,Documentation Quality,Repository Rating Score
AgriShare,True,,True,2025-08-03,2025-08-11,0.3,8045,258,997,60,7,6,23.3 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,28253,30746,0.0%,Low,8.3%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,"package.json: react,next,express | code_imports: React,Express",React,Express,JavaScript (55.6%) | CSS (44.1%),Next.js (79.1%) | React (16.1%),MongoDB,Firebase,Present,Review Required (2),High,2.45
AI-Assisted-Code-Migration-Tool,True,,True,2026-01-17,2026-01-18,0.0,870,42,153,21,8,6,0 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,4039,4219,0.0%,Low,8.8%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (68.6%) | CSS (23.4%) | HTML (8.0%),React (68.3%) | Express (31.7%),MongoDB,,Present,Clean,High,1.53
Amazon-clone,True,,True,2024-01-27,2024-04-09,2.4,1040,74,32,3,15,12,6.2 commits/mo,0,0,0,0,True,2,2,"yogesh saini, Yogesh Saini",1,0,0,0.0%,Moderate,0.0%,2,CSS | HTML,CSS | HTML,,,,,HTML (62.0%) | CSS (38.0%),None Detected,,,Not found in README,Clean,Low,1.96
API-Routes,True,,True,2024-10-08,2024-10-21,0.4,863,14,62,26,17,15,42.5 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,5404,5921,0.0%,Low,9.5%,2,JavaScript | CSS,CSS | JavaScript,,"code_imports: React,Next.js",React,,JavaScript (96.1%),Next.js (68.4%) | React (31.6%),,,Not found in README,Review Required (1),Low,1.32
AquaSense,True,,True,2025-11-03,2025-11-18,0.5,1944,137,291,20,14,11,28.0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,12304,13673,0.0%,Low,10.4%,4,JavaScript | CSS | Python | HTML,CSS | HTML | JavaScript,Python,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (69.5%) | CSS (17.0%) | Python (11.1%),React (88.6%) | Express (9.4%),MongoDB,,Present,Clean,High,1.89
asana-rl-seed-data,True,,True,2026-01-06,2026-01-06,0.0,354,36,62,14,4,4,0 commits/mo,0,0,0,0,True,1,1,Saini-Yogesh,1,2959,2907,0.0%,Moderate,10.4%,1,Python,,Python,,,,Python (100.0%),None Detected,SQLAlchemy (ORM) | Sql (Schema Found),,Present,Clean,High,1.0
Assessment,True,,True,2024-08-08,2024-08-08,0.0,330,6,36,3,2,2,0 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,955,1124,0.0%,Low,0.0%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,,,,JavaScript (47.7%) | CSS (32.4%) | HTML (19.9%),None Detected,,,Not found in README,Clean,Low,0.97
Assignment-1.O,True,,True,2025-01-20,2025-01-21,0.0,870,43,149,24,5,3,0 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,3125,3469,0.0%,Low,10.4%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (57.3%) | CSS (35.2%) | HTML (7.5%),React (57.7%) | Next.js (28.5%) | Express (13.8%),MongoDB,,Present,Clean,High,1.12
Assignment-2.O-bot,True,,False,2025-01-20,2025-01-20,0.0,158,3,21,6,1,1,0 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,985,1154,0.0%,Low,12.8%,3,JavaScript | HTML | CSS,CSS | HTML | JavaScript,,package.json: express | code_imports: Express,,Express,JavaScript (83.3%) | HTML (11.8%),Express (100.0%),,Openai,Not found in README,Clean,Low,0.92
backand,True,,True,2024-10-10,2024-10-11,0.0,351,19,35,18,26,22,0 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,1226,1509,0.0%,Low,8.2%,4,EJS | JavaScript | CSS | HTML,CSS | HTML | JavaScript,,package.json: express | code_imports: Express,,Express,JavaScript (80.2%) | HTML (14.2%) | CSS (5.6%),Express (100.0%),,,Not found in README,Clean,Low,1.29
beauty-parlour-demo,True,,True,2026-03-10,2026-03-14,0.1,1558,70,392,32,8,5,80.0 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,5285,5634,0.0%,Low,10.1%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,code_imports: React,React,,JavaScript (55.6%) | CSS (40.0%),React (100.0%),,,Not found in README,Clean,Low,2.71
clear-energy-takehome,True,Mit License,True,2026-07-08,2026-07-08,0.0,2073,134,177,31,9,8,0 commits/mo,1,0,1,1,True,2,2,"yogeshintern, Yogesh Saini",1,15929,15371,9.8%,Low,22.9%,2,TypeScript | JavaScript,JavaScript | TypeScript,,package.json: react | code_imports: React,React,,TypeScript (95.8%),React (97.8%),,,Present,Clean,High,2.8
code-repository-analyzer,True,,True,2026-09-09,2026-09-09,0.0,3423,266,604,3,10,7,0 commits/mo,3,0,3,3,True,2,2,"Yogesh Saini, yogesh-saini-data",1,40166,39898,0.0%,High,18.5%,1,Python,,Python,,,,Python (100.0%),None Detected,MongoDB | MySQL | PostgreSQL | Redis,,Present,Clean,High,2.07
Contact-list,True,,True,2024-04-13,2024-07-26,3.4,434,15,29,5,15,10,4.4 commits/mo,0,0,0,0,True,2,3,"Yogesh Saini, Saini-Yogesh, Yogesh Saini",1,1755,1866,0.0%,Low,11.1%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,,,,JavaScript (61.1%) | CSS (21.1%) | HTML (17.8%),None Detected,,,Not found in README,Clean,Low,1.96
Cpp-codes,True,,True,2024-01-29,2025-08-29,19.0,20170,3147,1651,390,30,18,1.6 commits/mo,0,0,0,0,True,2,4,"Yogesh Saini, yogesh saini, Saini-Yogesh, Yogesh Saini",1,157327,155971,6.9%,Low,24.7%,3,C++ | C | HTML,HTML,C | C++,,,,HTML (67.4%) | C++ (29.3%),None Detected,,,Not found in README,Clean,Low,5.3
