repo_name,is_git,license_type,first_commit_date,last_commit_date,loc_code,loc_comment,loc_blank,loc_files,lang_count,languages,languages_frontend,languages_backend,commits,contributors,all_contributors_count,all_contributors,branch_count,meaningful_commit_count,development_span_months,commits_per_month,git_history_intact,tokens_llm,lexical_token,duplication_weighted_percent,code_complexity,ai_detection_percent,frameworks,framework_frontend,framework_backend,databases_used,third_party_apis,setup_guidelines,security_findings,documentation_quality,repo_rating_score,repo_rating_label,languages_percentage_bytes(>5%),frameworks_percentage_bytes(>5%),total_time_seconds,total_pr_count,open_pr_count,closed_pr_count,merged_pr_count,github_pr_analysis_available
AgriShare,True,,2025-08-03,2025-08-11,8045,258,997,60,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,7,2,2,"Yogesh Saini, Yogesh Saini",1,6,0.3,23.3 commits/mo,True,28253,30746,0.0%,Low,8.3%,"package.json: react,next,express | code_imports: React,Express",React,Express,MongoDB,Firebase,Present,Review Required (2),High,2.45,Poor,JavaScript (55.6%) | CSS (44.1%),Next.js (79.1%) | React (16.1%),6.49,0,0,0,0,True
AI-Assisted-Code-Migration-Tool,True,,2026-01-17,2026-01-18,870,42,153,21,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,8,2,2,"Saini-Yogesh, Yogesh Saini",1,6,0.0,0 commits/mo,True,4039,4219,0.0%,Low,8.8%,"package.json: react,express | code_imports: React,Express",React,Express,MongoDB,,Present,Clean,High,1.53,Poor,JavaScript (68.6%) | CSS (23.4%) | HTML (8.0%),React (68.3%) | Express (31.7%),5.9,0,0,0,0,True
Amazon-clone,True,,2024-01-27,2024-04-09,1040,74,32,3,2,CSS | HTML,CSS | HTML,,15,2,2,"yogesh saini, Yogesh Saini",1,12,2.4,6.2 commits/mo,True,0,0,0.0%,Moderate,0.0%,,,,,,Not found in README,Clean,Low,1.96,Poor,HTML (62.0%) | CSS (38.0%),None Detected,5.64,0,0,0,0,True
API-Routes,True,,2024-10-08,2024-10-21,863,14,62,26,2,JavaScript | CSS,CSS | JavaScript,,17,1,1,Yogesh Saini,1,15,0.4,42.5 commits/mo,True,5404,5921,0.0%,Low,9.5%,"code_imports: React,Next.js",React,,,,Not found in README,Review Required (1),Low,1.32,Poor,JavaScript (96.1%),Next.js (68.4%) | React (31.6%),6.02,0,0,0,0,True
AquaSense,True,,2025-11-03,2025-11-18,1944,137,291,20,4,JavaScript | CSS | Python | HTML,CSS | HTML | JavaScript,Python,14,2,2,"Yogesh Saini, Yogesh Saini",1,11,0.5,28.0 commits/mo,True,12304,13673,0.0%,Low,10.4%,"package.json: react,express | code_imports: React,Express",React,Express,MongoDB,,Present,Clean,High,1.89,Poor,JavaScript (69.5%) | CSS (17.0%) | Python (11.1%),React (88.6%) | Express (9.4%),10.06,0,0,0,0,True
asana-rl-seed-data,True,,2026-01-06,2026-01-06,354,36,62,14,1,Python,,Python,4,1,1,Saini-Yogesh,1,4,0.0,0 commits/mo,True,2959,2907,0.0%,Moderate,10.4%,,,,SQLAlchemy (ORM) | Sql (Schema Found),,Present,Clean,High,1.0,Poor,Python (100.0%),None Detected,6.89,0,0,0,0,True
Assessment,True,,2024-08-08,2024-08-08,330,6,36,3,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,2,1,1,Yogesh Saini,1,2,0.0,0 commits/mo,True,955,1124,0.0%,Low,0.0%,,,,,,Not found in README,Clean,Low,0.97,Poor,JavaScript (47.7%) | CSS (32.4%) | HTML (19.9%),None Detected,5.28,0,0,0,0,True
Assignment-1.O,True,,2025-01-20,2025-01-21,870,43,149,24,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,5,1,1,Yogesh Saini,1,3,0.0,0 commits/mo,True,3125,3469,0.0%,Low,10.4%,"package.json: react,express | code_imports: React,Express",React,Express,MongoDB,,Present,Clean,High,1.12,Poor,JavaScript (57.3%) | CSS (35.2%) | HTML (7.5%),React (57.7%) | Next.js (28.5%) | Express (13.8%),5.36,0,0,0,0,True
Assignment-2.O-bot,True,,2025-01-20,2025-01-20,158,3,21,6,3,JavaScript | HTML | CSS,CSS | HTML | JavaScript,,1,1,1,Yogesh Saini,1,1,0.0,0 commits/mo,False,985,1154,0.0%,Low,12.8%,package.json: express | code_imports: Express,,Express,,Openai,Not found in README,Clean,Low,0.92,Poor,JavaScript (83.3%) | HTML (11.8%),Express (100.0%),4.8,0,0,0,0,True
backand,True,,2024-10-10,2024-10-11,351,19,35,18,4,EJS | JavaScript | CSS | HTML,CSS | HTML | JavaScript,,26,1,1,Yogesh Saini,1,22,0.0,0 commits/mo,True,1226,1509,0.0%,Low,8.2%,package.json: express | code_imports: Express,,Express,,,Not found in README,Clean,Low,1.29,Poor,JavaScript (80.2%) | HTML (14.2%) | CSS (5.6%),Express (100.0%),6.13,0,0,0,0,True
